qb,att,cmp,yds,ypa,int,lg,sack,loss,accuracy,td
Philip RiversP. Rivers,0.2993070663068709,0.35888638869435285,0.920344011297398,0.5327129565604185,-0.8261202436825615,0.41590420011108215,-0.5634432409373284,-0.5344940756589613,0.15716802858298592,3
Eric WeddleE. Weddle,-2.1381958736843663,-2.119098715473256,-2.066222344235197,-2.023352458356198,-0.8261202436825615,-2.0275732006078577,-1.134928912685685,-1.0037301537083985,-3.7330245734688723,0
Derek CarrD. Carr,0.2993070663068709,-0.09165635751793967,0.6245498994075882,0.2826630790142281,0.30023783122549075,2.248512250650287,-1.134928912685685,-1.0037301537083985,-0.5501397172446247,4
Tony RomoT. Romo,0.15157961539831105,0.24625070214127973,0.31921404197294595,0.14374648037745524,-0.8261202436825615,0.5825049319782826,-0.5634432409373284,-0.14346401061776382,0.21242644622576778,2
Russell WilsonR. Wilson,-0.14387528641880856,-0.5421991037302322,-0.8639624055862929,-0.7731030706252441,0.30023783122549075,0.9157063957126834,0.008042430811028223,-1.0037301537083985,-0.7269666537015275,0
Kirk CousinsK. Cousins,0.5947619681239905,0.584157761800499,1.3115555786355333,0.5604962762877734,2.552953981041595,1.5265757458924183,0.008042430811028223,0.4821840934481523,0.06410121992145781,2
Carson PalmerC. Palmer,1.03794432084967,1.0347005080127916,0.31921404197294595,-0.43970323389698973,-0.8261202436825615,-0.6947673456702541,-0.5634432409373284,-0.45628806265072186,0.09286732441683924,2
Eli ManningE. Manning,-0.5131939136902082,-0.6548347902833053,-0.6254187669654786,-0.18965335635079913,-0.8261202436825615,-0.9169016548265213,2.2939851178044544,1.4988622625552661,-0.3348721424275262,0
Ryan NassibR. Nassib,-1.8427409718672465,-1.6685559692609635,-1.4937176115452426,1.3106459089263454,-0.8261202436825615,-0.41709945922492003,0.008042430811028223,-0.14346401061776382,1.0766680981588796,0
Nick FolesN. Foles,0.2993070663068709,0.24625070214127973,0.3001305508832808,0.0048298817406826015,1.426595906133543,-0.5837001910921205,-0.5634432409373284,-0.7691121146836799,-0.019658907873916758,2
Colin KaepernickC. Kaepernick,0.3731707917611508,0.35888638869435285,1.2065963776423752,0.6994128749245461,-0.8261202436825615,2.415112982517487,-1.134928912685685,-1.0037301537083985,0.04601966852436113,3
